Profile,ConnectionStartDateTime,ChargingEndDateTime,ConnectionHours,Energy
Shortstay,2020-02-10T13:00:00Z,2020-02-11T01:26:00Z,2,46.05946172764803
Shortstay,2020-02-15T10:00:00Z,2020-02-15T10:02:00Z,2,0.3165680583911342
Shortstay,2020-02-15T13:00:00Z,2020-02-15T13:01:00Z,2,0.18200412953630996
Shortstay,2020-02-15T10:00:00Z,2020-02-15T10:21:00Z,2,1.3000008727008423
Shortstay,2020-02-15T10:00:00Z,2020-02-15T10:17:00Z,2,1.0919662961075598
Shortstay,2020-02-15T09:00:00Z,2020-02-15T09:09:00Z,2,0.6014308359483019
Shortstay,2020-02-15T11:00:00Z,2020-02-15T11:46:00Z,3,2.858224058856403
Shortstay,2020-02-15T11:00:00Z,2020-02-15T11:02:00Z,2,0.5031134893777687
Shortstay,2020-02-15T08:00:00Z,2020-02-15T09:01:00Z,2,3.7838857540907433
Shortstay,2020-02-15T09:00:00Z,2020-02-15T09:32:00Z,3,1.980978342221328
Shortstay,2020-02-15T07:00:00Z,2020-02-15T07:32:00Z,2,1.9965267464160092
Shortstay,2020-02-15T09:00:00Z,2020-02-15T09:18:00Z,2,2.2836367637415833
Shortstay,2020-02-15T08:00:00Z,2020-02-15T08:20:00Z,2,1.2413403255613622
Shortstay,2020-02-15T12:00:00Z,2020-02-15T12:52:00Z,2,3.234237418215719
Shortstay,2020-02-15T07:00:00Z,2020-02-15T07:57:00Z,2,3.568056941754559
Shortstay,2020-02-15T11:00:00Z,2020-02-15T11:29:00Z,2,1.8059825891218655
Shortstay,2020-02-15T12:00:00Z,2020-02-15T12:57:00Z,2,6.959347149592928
Shortstay,2020-02-15T12:00:00Z,2020-02-15T13:21:00Z,2,5.039261551654571
Shortstay,2020-02-15T11:00:00Z,2020-02-15T12:30:00Z,2,5.606188704871947
Shortstay,2020-02-15T11:00:00Z,2020-02-15T12:09:00Z,2,4.287868033980256
Shortstay,2020-02-15T09:00:00Z,2020-02-15T09:56:00Z,3,6.869188900785801
Shortstay,2020-02-15T11:00:00Z,2020-02-15T11:24:00Z,3,4.579864430489755
Shortstay,2020-02-15T10:00:00Z,2020-02-15T10:16:00Z,2,5.960198110704483
Shortstay,2020-02-15T10:00:00Z,2020-02-15T10:28:00Z,2,5.220818822323882
Shortstay,2020-02-15T10:00:00Z,2020-02-15T10:30:00Z,2,1.8658762154480115
